name,dirname,date,grader,moodle,notes
WSL2 Install,wsl,2024-03-04 23:59,,No submission needed,Day 1
C Review & xv6 Introduction,lab00/,2024-03-07 23:59,,[Submission box]({{ site.gradescope_url }}),Day 3
Simple Shell,simpleshell/,2024-03-11 23:59,,[Submission box]({{ site.gradescope_url }}),Day 5
Process Lab,processlab/,2024-03-14 23:59,,[Submission box]({{ site.gradescope_url }}),Day 7
Heap Manager,heapmm/,2024-03-18 23:59,,[Submission box]({{ site.gradescope_url }}),Day 9
[Challenge] Heap Manager II,buddy/,2024-03-29 23:59,,[Submission box]({{ site.gradescope_url }}),Day 16
[Challenge] Copy-on-Write,cow,2024-04-04 23:59,,[Submission box]({{ site.gradescope_url }}),Day 19
Threads & Mutex Basics,threads_basics,2024-04-15 23:59,,[Submission box]({{ site.gradescope_url }}),Day 21
Condition Variables Basics,condvar,2024-04-18 23:59,,[Submission box]({{ site.gradescope_url }}),Day 23
[Challenge] Condition Variables II,condvar_challenge,2024-04-22 23:59,,[Submission box]({{ site.gradescope_url }}),Day 25
Scheduler Activity,sched,2024-04-29 23:59,,[Submission box]({{ site.gradescope_url }}),Day 29
# Userspace Threads I,lab09,2024-04-29 23:59,,[Submission box]({{ site.gradescope_url }}),
# [Challenge] Userspace Threads II,lab10,2024-04-29 23:59,,[Submission box]({{ site.gradescope_url }}),
# [Challenge] Hybrid Threads,lab11,2024-04-29 23:59,,[Submission box]({{ site.gradescope_url }}),
Stack Smashing Lab,smlab,2024-05-06 23:59,,[Submission box]({{ site.gradescope_url }}),Day 33
Project Milestone 1,project,2024-05-09 23:59,,[Submission box]({{ site.gradescope_url }}),Day 35
[Challenge] ext2 File System,ext2,2024-05-13 23:59,,[Submission box]({{ site.gradescope_url }}),Day 37
Project Milestone 2,project,2024-05-17 23:59,,[Submission box]({{ site.gradescope_url }}),Day 40
